"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_cfgweapons_engraved19110","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911",
"str_iz_cfgweapons_engraved19111","Semi-automatic pistol, fed from a detachable magazine. This variant had been engraved by an unknown artist. Uses .45 ACP rounds.","Semi-automatic pistol, fed from a detachable magazine. This variant had been engraved by an unknown artist. Uses .45 ACP rounds.","Poloautomatická pistole s municí dodávanou odnímatelným zásobníkem. Tento model se pyšní rytinou od neznámého umělce. Používá munici .45 ACP.","Halbautomatische Pistole mit abnehmbarem Magazin. Diese Variante wurde von einem unbekannten Künstler mit einer Gravur versehen. Nutzt .45 ACP-Munition.","Полуавтоматический пистолет со съемным магазином. Эта модель имеет гравировку. Художник неизвестен. Использует патроны калибра .45 ACP.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Ta wersja została wygrawerowana przez nieznanego artystę. Strzela amunicją .45 ACP.","Semi-automatic pistol, fed from a detachable magazine. This variant had been engraved by an unknown artist. Uses .45 ACP rounds.","Pistola semi-automatica con alimentazione mediante un caricatore estraibile. Le incisioni di questa variante sono state realizzate da un artista sconosciuto. Utilizza munizioni calibro .45 ACP.","Una pistola semiautomática con cargador desmontable. Esta en concreto tiene un grabado de autor desconocido. Emplea proyectiles .45 ACP.","Un pistolet semi-automatique avec chargeur amovible de calibre .45 ACP. Cet exemplaire a été gravé par un artiste inconnu.","半自動步槍，使用可拆式彈匣送彈。這種版本上有著未知名藝術家的雕刻。使用 .45 ACP 子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。この派生型は不明なアーティストによって刻印されている。.45 ACP 弾薬を使う。","Semi-automatic pistol, fed from a detachable magazine. This variant had been engraved by an unknown artist. Uses .45 ACP rounds.","使用可拆卸弹匣送弹的半自动手枪。此变款经过一位不知名的艺术家雕刻。使用.45 ACP子弹。",

"str_iz_cfgweapons_colt19110","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911",
"str_iz_cfgweapons_colt19111","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","Poloautomatická pistole s municí dodávanou odnímatelným zásobníkem. Téměř sto let starý model, který se však v boji neztratí ani dnes. Používá munici .45 ACP.","Halbautomatische Pistole mit abnehmbarem Magazin. Trotz seines bald einhundert Jahre alten Designs ist diese Waffe nach wie vor sehr beliebt. Nutzt .45 ACP-Munition.","Полуавтоматический пистолет со съемным магазином. Несмотря на то, что его конструкции почти сто лет, он превосходно справляется с задачей. Использует патроны калибра .45 ACP.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Zaprojektowany prawie wiek temu wciąż dobrze sprawdza się w walce. Strzela amunicją .45 ACP.","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","Pistola semi-automatica con alimentazione mediante un caricatore estraibile. Dal design quasi centenario, sa ancora farsi valere in combattimento. Utilizza munizioni calibro .45 ACP.","Una pistola semiautomática con cargador desmontable. Es un diseño de hace casi un siglo, pero sigue dándolo todo en combate. Emplea proyectiles .45 ACP.","Un pistolet semi-automatique avec chargeur amovible de calibre .45 ACP. Conçu il y a plus d'un siècle, il a néanmoins encore sa place dans votre arsenal.","半自動手槍，使用可拆卸式彈匣送彈。幾乎一個世紀的舊版設計，但依然頗具戰力。使用 .45 ACP 子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。ほぼ 1 世紀前のデザインだが、今でも戦闘で活躍してくれる。.45 ACP 弾薬を使う。","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","使用可拆卸弹匣送弹的半自动手枪。这款手枪设计于近一个世纪之前，但它在战斗中仍旧威风不减。使用.45 ACP子弹。",

"str_iz_cfgweapons_cz750","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75",
"str_iz_cfgweapons_cz751","Semi-automatic pistol, fed from a detachable magazine. Popular due to good quality and affordable price. Uses 9x19mm rounds.","Semi-automatic pistol, fed from a detachable magazine. Popular due to good quality and affordable price. Uses 9x19mm rounds.","Poloautomatická pistole. Munice dodávána odnímatelným zásobníkem. Díky dobré kvalitě a dostupné ceně je to velmi oblíbená zbraň. Používá munici 9x19 mm.","Halbautomatische Pistole mit abnehmbarem Magazin. Beliebt aufgrund ihrer guten Qualität und Erschwinglichkeit. Nutzt 9x19mm-Munition.","Полуавтоматический пистолет со съемным магазином. Популярен благодаря хорошему качеству и доступной цене. Использует патроны калибра 9x19 мм.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Popularny ze względu na stosunek ceny do jakości. Strzela amunicją 9x19 mm.","Semi-automatic pistol, fed from a detachable magazine. Popular due to good quality and affordable price. Uses 9x19mm rounds.","Pistola semiautomatica con alimentazione a caricatore estraibile. Popolare grazie alla buona qualità e al prezzo accessibile. Utilizza munizioni calibro 9x19 mm.","Pistola semiautomática que usa un cargador desmontable. Popular debido a su buena calidad y a su precio asequible. Usa proyectiles de 9x19 mm.","Un pistolet semi-automatique avec chargeur amovible de calibre 9x19 mm. Populaire en raison de son rapport qualité/prix avantageux.","半自動式手槍，以可拆卸的彈匣供彈。因為品質優良且價格低廉而廣受歡迎。使用 9x19mm 子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。良質でお手頃価格なため人気。9x19mm 弾薬を使う。","Semi-automatic pistol, fed from a detachable magazine. Popular due to good quality and affordable price. Uses 9x19mm rounds.","从可拆卸弹匣送弹的半自动手枪。因物美价廉而深受欢迎。使用 9x19mm 子弹。",

