"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_cfgvehicles_sks_bayonet0","SKS Bayonet","SKS Bayonet","Bajonet SKS","SKS-Bajonett","Штык для винтовки SKS","Bagnet SKS","SKS Bayonet","Baionetta SKS","Bayoneta para SKS","Baïonnette de SKS","SKS 刺刀","SKS 銃剣","SKS Bayonet","SKS 刺刀",
"str_iz_cfgvehicles_sks_bayonet1","A bayonet for SKS rifle with a bayonet lug.","A bayonet for SKS rifle with a bayonet lug.","Bajonet na pušku SKS s montáží na bajonet.","Ein Bajonett für das SKS-Gewehr mit Bajonettaufsatz.","Штык для винтовки SKS с выступом для крепления штыка.","Bagnet na karabin SKS z odpowiednim uchwytem.","A bayonet for SKS rifle with a bayonet lug.","Una baionetta per fucile SKS con un attacco per baionetta.","Una bayoneta para el fusil SKS, con un agarre de bayoneta.","Une baïonnette pouvant être fixée au fusil SKS.","刺刀，可加裝在有刺刀座的 SKS 步槍。","着剣ラグのある SKS ライフルのための銃剣。","A bayonet for SKS rifle with a bayonet lug.","一种带有刺刀座的 SKS 步枪的刺刀。",

"str_iz_cfgvehicles_saiga_bttstck0","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock","Saiga-12K Folding Buttstock",
"str_iz_cfgvehicles_saiga_bttstck1","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.","A folding buttstock for Saiga-12K shotgun.",

"str_iz_cfgvehicles_pistolsuppressor0","Pistol Suppressor","Pistol Suppressor","Pistolový tlumič","Pistolen-Schalldämpfer","Пистолетный глушитель","Tłumik pistoletowy","Pistol Suppressor","Silenziatore per pistola","Silenciador de pistola","Silencieux de pistolet","手槍消音器","ピストル用サプレッサー","Pistol Suppressor","手枪声音抑制器",
"str_iz_cfgvehicles_pistolsuppressor1","A muzzle device for select pistols and submachine guns. Reduces sound intensity and muzzle flash generated by firing.","A muzzle device for select pistols and submachine guns. Reduces sound intensity and muzzle flash generated by firing.","Zařízení na ústí hlavně vybraných pistolí a samopalů. Při výstřelu snižuje intenzitu zvuku a záblesk z hlavně.","Laufaufsatz für diverse Pistolen und Maschinenpistolen. Verringert Lärm und Mündungsfeuer.","Глушитель для некоторых пистолетов и автоматов. Уменьшает громкость звука и дульное пламя при стрельбе.","Tłumik na pistolety i pistolety maszynowe. Tłumi dźwięki i zmniejsza rozbłysk po wystrzale.","A muzzle device for select pistols and submachine guns. Reduces sound intensity and muzzle flash generated by firing.","Congegno da montare alla volata di determinate pistole e mitra per ridurre l’intensità del suono e il flash di bocca generato dallo sparo.","Un dispositivo silenciador para una selección de pistolas y metralletas. Reduce tanto la intensidad del sonido como el fogonazo que se produce al disparar.","Un dispositif monté sur le canon de certains pistolets et pistolets mitrailleurs. Réduit l'intensité du son et du flash lumineux produits par le tir.","槍口配件，適用於某些手槍與機關槍。降低開槍時的聲音強度與槍口火光。","特定のピストルと短機関銃のための銃口装置。射撃の際に発生する音の強さと銃口の火花を減少させる。","A muzzle device for select pistols and submachine guns. Reduces sound intensity and muzzle flash generated by firing.","精选手枪和冲锋枪的枪口装置。可减少射击产生的声音强度和枪口焰。",

